Name,Lat,Lon,country,state,Population
Southport,-27.96724,153.39796,AU,4,28315
South Grafton,-29.7076,152.92627,AU,2,16399
Shepparton,-36.38047,145.39867,AU,7,38773
Seaford,-38.1,145.13333,AU,7,16033
Saint Kilda,-37.8676,144.98099,AU,7,17795
Saint Albans,-37.73333,144.8,AU,7,35091
Rowville,-37.93333,145.23333,AU,7,34145
Rockhampton,-23.38032,150.50595,AU,4,61724
Richmond,-37.81819,145.00176,AU,7,26121
Reservoir,-37.71667,145,AU,7,47637
Queanbeyan,-35.35493,149.232,AU,2,40661
Quakers Hill,-33.73333,150.88333,AU,2,25017
Preston,-37.75,145.01667,AU,7,29925
Port Macquarie,-31.43084,152.90894,AU,2,41491
Point Cook,-37.91482,144.75088,AU,7,32413
Pakenham South,-38.13333,145.51667,AU,7,32911
Orange,-33.28397,149.10018,AU,2,39329
Nowra,-34.88422,150.60036,AU,2,34479
Northcote,-37.76667,145,AU,7,22920
Noble Park,-37.96667,145.16667,AU,7,28377
Newcastle,-32.92715,151.77647,AU,2,308308
Nerang,-27.98941,153.33633,AU,4,16256
Narre Warren,-38.03333,145.3,AU,7,25882
Narangba,-27.20338,152.95923,AU,4,16223
Mulgrave,-37.91667,145.2,AU,7,17647
Mount Martha,-38.26667,145.01667,AU,7,17087
Mount Gambier,-37.8318,140.77919,AU,5,23209
Mount Eliza,-38.18333,145.08333,AU,7,17248
Mosman,-33.83902,151.23956,AU,2,26236
Mornington,-38.21792,145.03876,AU,7,22421
Morayfield,-27.10876,152.94907,AU,4,18020
Moe,-38.17828,146.26099,AU,7,15582
Mill Park,-37.66667,145.06667,AU,7,30517
Mildura,-34.18551,142.16251,AU,7,30016
Melton,-37.68339,144.58543,AU,7,35490
Melbourne,-37.814,144.96332,AU,7,4246375
Maryborough,-25.54073,152.70493,AU,4,21501
Marrickville,-33.90318,151.15176,AU,2,23161
Maroubra,-33.95,151.23333,AU,2,26538
Maitland,-32.73308,151.5574,AU,2,67132
Mackay,-21.15345,149.16554,AU,4,74219
Liverpool,-33.9,150.93333,AU,2,21317
Lismore,-28.81354,153.2773,AU,2,30086
Lilydale,-37.75,145.35,AU,7,15649
Launceston,-41.43876,147.13467,AU,6,106153
Lara,-38.02388,144.40617,AU,7,15520
Langwarrin,-38.16667,145.16667,AU,7,21371
Lalor,-37.66667,145.01667,AU,7,19873
Keysborough,-37.99116,145.17385,AU,7,22700
Kew,-37.80639,145.03086,AU,7,23876
Katoomba,-33.71977,150.30739,AU,2,18593
Hornsby,-33.70244,151.09931,AU,2,19863
Hobart,-42.87936,147.32941,AU,6,216656
Hawthorn South,-37.83333,145.05,AU,7,21177
Hampton Park,-38.03333,145.25,AU,7,23767
Griffith,-34.28853,146.05093,AU,2,15455
Greensborough,-37.70462,145.10302,AU,7,20214
Granville,-33.83333,151.01667,AU,2,22889
Goulburn,-34.75155,149.72086,AU,2,20940
Gold Coast,-28.00029,153.43088,AU,4,591473
Glenroy,-37.7,144.93333,AU,7,19644
Glenferrie,-37.83333,145.05,AU,7,21177
Gladstone,-23.84852,151.25775,AU,4,30489
Geelong,-38.14711,144.36069,AU,7,226034
Frankston East,-38.13333,145.13333,AU,7,34457
Frankston,-38.14458,145.12291,AU,7,34457
Forster,-32.18136,152.51715,AU,2,17591
Essendon,-37.76667,144.91667,AU,7,18852
Epping,-37.65,145.03333,AU,7,32200
Epping,-33.77271,151.08184,AU,2,18969
Engadine,-34.06564,151.01266,AU,2,17937
Eltham,-37.73333,145.15,AU,7,18162
Echuca,-36.14057,144.75185,AU,7,19457
Earlwood,-33.95,151.1,AU,2,16564
Dubbo,-32.24295,148.60484,AU,2,32327
Doncaster East,-37.78761,145.14888,AU,7,27047
Doncaster,-37.78828,145.12373,AU,7,18359
